No.	Name	Pronunciation	New_Freq
974	守	siú	1333
2979	卻	khiok	1332
948	綴	tuè	1323
948	綴	tè	1323
1148	小	siáu	1319
997	重	tiông	1317
1285	弟	tē	1315
875	標	pio	1315
2657	需	su	1312
897	羊	iûnn	1308
1017	絕	tsua̍t	1306
1206	堂	tông	1306
855	級	kip	1304
2088	捒	sak	1302
378	稅	sè	1300
379	當	tong	1300
367	奶	ling	1300
383	麵	mī	1300
367	奶	ni	1300
366	戶	hōo	1300
378	稅	suè	1300
1096	掛	kuà	1299
1011	訪	hóng	1299
1707	應	ìn	1297
943	禁	kìm	1294
2438	昨	tsa	1291
2439	昨	tso̍h	1291
557	星	tshinn	1288
557	星	tshenn	1288
957	器	khì	1288
989	取	tshú	1284
1344	勤	khîn	1277
1162	伴	phuānn	1275
578	龍	lîng	1274
4290	猶	iu	1273
1207	娶	tshuā	1269
1456	婦	pū	1268
1134	錯	tshò	1268
1026	睭	tsiu	1265
964	騙	phiàn	1265
1124	踅	se̍h	1262
917	飛	pue	1258
917	飛	pe	1258
1021	閒	îng	1258
1009	祭	tsè	1257
1234	載	tsài	1256
799	脫	thuat	1255
2035	姐	tsiá	1254
4344	傷	siunn	1251
1246	憂	iu	1250
391	股	kóo	1250
1115	搖	iô	1250
390	沙	sua	1250
809	節	tsiat	1245
1263	屬	sio̍k	1245
808	節	tsueh	1245
808	節	tseh	1245
2536	都	to	1238
4986	阮	gún	1237
1243	說	seh	1236
1243	說	sueh	1236
1407	行	hīng	1233
1898	實	tsa̍t	1233
939	街	kue	1223
939	街	ke	1223
950	領	líng	1221
1114	嫌	hiâm	1220
2265	癀	hông	1217
1831	基	ke	1215
2563	著	to̍h	1210
856	假	ká	1210
1586	迌	thô	1209
2296	贊	tsàn	1207
1024	溝	kau	1206
1395	介	kài	1204
988	叔	tsik	1201
428	鹹	kiâm	1200
425	橋	kiô	1200
417	麻	muâ	1200
407	厚	kāu	1200
427	糖	thn̂g	1200
986	具	kū	1199
857	帶	tài	1197
1154	玉	gio̍k	1197
1775	京	kiann	1194
1496	稱	tshing	1194
1368	擋	tòng	1193
1393	中	tiòng	1192
735	密	bi̍t	1190
1250	賞	siúnn	1186
2224	撒	suah	1184
1066	此	tshú	1183
784	往	óng	1180
